nivel,provincia,codigo,nombre,hogares,propia,escritura,boleto,otra_doc,sin_doc,alquilada,cedida_trabajo,prestada,otra
partido,Buenos Aires,06560,Moreno,181244,134375,54812,43447,12944,23172,22822,901,11347,11799
partido,Buenos Aires,06568,Morón,128619,81902,67946,6274,4573,3109,29382,696,7841,8798
partido,Buenos Aires,06658,Quilmes,214681,151010,89689,23515,12924,24882,35360,633,12829,14849
partido,Buenos Aires,06749,San Fernando,60344,37324,27131,3051,2947,4195,14828,371,3624,4197
partido,Buenos Aires,06756,San Isidro,110559,74040,62511,2800,3788,4941,24172,608,5464,6275
partido,Buenos Aires,06760,San Miguel,109322,70190,39442,16519,5111,9118,24775,1039,6427,6891
partido,Buenos Aires,06805,Tigre,147150,98592,61947,17412,8759,10474,29191,762,8661,9944
partido,Buenos Aires,06840,Tres de Febrero,136658,84496,67002,6996,5885,4613,35061,504,7814,8783
partido,Buenos Aires,06861,Vicente López,114743,72553,65258,1917,2906,2472,29430,872,6077,5811
partido,Buenos Aires,06007,Adolfo Alsina,7182,4965,3698,350,563,354,1205,318,359,335
partido,Buenos Aires,06014,Adolfo Gonzales Chaves,5119,3502,2409,376,464,253,850,183,300,284
partido,Buenos Aires,06021,Alberti,4960,3401,2709,280,262,150,930,125,273,231
partido,Buenos Aires,06042,Ayacucho,8329,5339,4281,403,389,266,1492,614,517,367
partido,Buenos Aires,06049,Azul,28364,19097,13164,2284,2075,1574,5409,851,1725,1282
partido,Buenos Aires,06056,Bahia Blanca,132118,80931,57814,9968,8499,4650,36959,1029,7244,5955
partido,Buenos Aires,06063,Balcarce,18131,11990,8939,1182,999,870,3736,585,971,849
partido,Buenos Aires,06070,Baradero,13703,9424,6061,1673,986,704,2365,332,903,679
partido,Buenos Aires,06077,Arrecifes,11695,8141,5810,816,713,802,2047,279,688,540
partido,Buenos Aires,06084,Benito Juárez,8056,5332,4444,356,333,199,1446,427,458,393
partido,Buenos Aires,06098,Berisso,34728,25480,15131,4083,2889,3377,4508,144,2054,2542
partido,Buenos Aires,06105,Bolivar,14802,9568,8158,568,504,338,3340,437,910,547
partido,Buenos Aires,06112,Bragado,17473,12298,9103,1146,1354,695,3118,210,1069,778
partido,Buenos Aires,06119,Brandsen,11395,7886,4962,1581,872,471,1900,392,729,488
partido,Buenos Aires,06126,Campana,37455,25275,15572,5536,2149,2018,7355,373,2424,2028
partido,Buenos Aires,06134,Cañuelas,23469,16855,8292,4703,1860,2000,3505,549,1423,1137
partido,Buenos Aires,06140,Capitán Sarmiento,5752,3727,2825,312,394,196,1213,212,334,266
partido,Buenos Aires,06147,Carlos Casares,9198,6156,4226,617,831,482,1613,388,596,445
partido,Buenos Aires,06154,Carlos Tejedor,4990,3223,2178,430,351,264,799,373,365,230
partido,Buenos Aires,06161,Carmen de Areco,6155,4086,2915,342,482,347,1150,282,357,280
partido,Buenos Aires,06168,Castelli,3548,2228,1491,258,310,169,643,250,264,163
partido,Buenos Aires,06175,Colón,10015,7253,4864,925,876,588,1529,142,552,539
partido,Buenos Aires,06182,Coronel de Marina Leonardo Rosales,23520,14018,9709,2560,1399,350,6508,346,1210,1438
partido,Buenos Aires,06189,Coronel Dorrego,6332,4341,3332,402,402,205,1049,198,423,321
partido,Buenos Aires,06196,Coronel Pringles,9349,6466,4094,625,1108,639,1563,283,614,423
partido,Buenos Aires,06203,Coronel Suárez,16727,11958,9118,950,1403,487,2962,341,834,632
partido,Buenos Aires,06210,Chacabuco,20147,13430,10201,1481,912,836,4183,358,1341,835
partido,Buenos Aires,06218,Chascomús,15685,10412,7606,1381,1002,423,3129,402,1037,705
partido,Buenos Aires,06224,Chivilcoy,27623,17953,14171,1805,1149,828,6225,338,1913,1194
partido,Buenos Aires,06231,Daireaux,6748,4340,3215,479,419,227,1385,299,441,283
partido,Buenos Aires,06238,Dolores,11617,8110,5725,984,920,481,1959,184,753,611
partido,Buenos Aires,06245,Ensenada,22495,16111,9113,2292,1903,2803,2846,119,1542,1877
partido,Buenos Aires,06252,Escobar,82557,56902,30472,16222,5144,5064,14870,516,5311,4958
partido,Buenos Aires,06266,Exaltación de la Cruz,13775,9099,6398,1301,685,715,2519,541,871,745
partido,Buenos Aires,06277,Florentino Ameghino,3715,2509,1808,168,264,269,690,157,222,137
partido,Buenos Aires,06280,General Alvarado,16832,11526,7932,1589,1134,871,2653,471,1307,875
partido,Buenos Aires,06287,General Alvear,3921,2593,1855,358,258,122,620,282,215,211
partido,Buenos Aires,06294,General Arenales,6441,4750,3541,384,452,373,1037,105,308,241
